name,category,value,duped_value,demand
147,Rim,20000,N/A,Close to none
2 Billion,Spoiler,6000000,N/A,Close to none
3 Billion,Spoiler,500000,N/A,Close to none
3 Billion,Tire Sticker,750000,N/A,Close to none
3 Lives,Spoiler,10000,N/A,Unknown
4 Billion,Rim,500000,N/A,Close to none
5 Star,Spoiler,3500000,N/A,Close to none
5B Flags,Spoiler,500000,N/A,Close to none
6 Billion,Spoiler,500000,N/A,Close to none
7 billion,Rim,10000,N/A,Unknown
8-Bit,Rim,250000,N/A,Close to none
8-Bit Rug,Furniture,18000,N/A,Unknown
80s Cassette Table,Furniture,500000,N/A,Close to none
80s Style,Tire Sticker,750000,N/A,Close to none
ATV,Vehicle,50000,N/A,Unknown
Abstracts,Rim,120000,N/A,Close to none
AdminNuke,Vehicle,N/A,N/A,Unknown
Aerial Support,Spoiler,250000,N/A,Close to none
Aeroblob,Rim,N/A,N/A,Unknown
After Burner,Spoiler,1500000,N/A,Very Low
Agent,Vehicle,2000000,N/A,Low
Ahooga,Horn,N/A,N/A,Unknown
Air Hockey Table,Furniture,1000000,N/A,Close to none
Airhorn,Horn,N/A,N/A,Unknown
Airtail,Vehicle,3000000,N/A,Decent
Alpine Racer,Texture,250000,N/A,Close to none
Ambulance,Vehicle,90000,N/A,Unknown
America,Tire Style,1000000,N/A,Close to none
Animated Obby,Rim,N/A,N/A,Close to none
Aperture,Vehicle,7500000,N/A,Decent
Aquatic,Texture,750000,N/A,Very Low
Aquatic,Weapon Skin,N/A,N/A,Unknown
Arachnid,Rim,1000,N/A,Unknown
Arachnid,Vehicle,17500000,15000000,Low
Arcade Portal,Furniture,1000000,N/A,Close to none
Arcade Racer,Spoiler,1000000,N/A,Close to none
Arcade Sports Machine,Furniture,750000,N/A,Close to none
Arch,Spoiler,15000,N/A,Unknown
Arch9000 Glow,Tire Sticker,500000,N/A,Close to none
Armor,Texture,1500000,N/A,Very Low
ArmorPunk,Rim,50000,N/A,Unknown
Asimos Desk,Furniture,3500,N/A,Close to none
Aurora,Drift,2000000,N/A,Medium
Aurora,Texture,250000,N/A,Close to none
Aurora,Weapon Skin,5000,N/A,Unknown
Aurora Chandelier,Furniture,250000,N/A,Close to none
Avatar Wardrobe,Furniture,500000,N/A,Close to none
Bacon,Texture,750000,N/A,Close to none
Bad Omen,Rim,50000,N/A,Unknown
Badger,Vehicle,45000,N/A,Unknown
Badimo Bros Wall Light,Furniture,30000,N/A,Unknown
Badonuts,Tire Sticker,35000,N/A,Close to none
Ball,Texture,20000,N/A,Unknown
Baller,Rim,1000000,N/A,Close to none
Bamboo,Rim,5000,N/A,Close to none
Bamboo Shooters,Spoiler,1000000,N/A,Close to none
Banana Car,Vehicle,16000000,N/A,Medium
Banana Chandelier,Furniture,500000,N/A,Close to none
Bananas,Drift,10000,N/A,Close to none
Bandana,Texture,500000,N/A,Close to none
Bandit,Vehicle,5000000,N/A,Decent
Bank Truck,Vehicle,N/A,N/A,Unknown
BatWings,Spoiler,50000,N/A,Unknown
Beach Hammock,Furniture,750000,N/A,Close to none
Beachball,Rim,500000,N/A,Close to none
Beadlock,Rim,750000,N/A,Close to none
Beam Hybrid,Vehicle,19000000,16000000,Decent
Beignet,Vehicle,40000000,37000000,High
Belgian Waffle,Rim,250000,N/A,Close to none
Berlin Graffiti,Texture,1000000,N/A,Very Low
Bicycle,Horn,N/A,N/A,Unknown
Bicycle Rack,Spoiler,5500000,N/A,Close to none
Billion,Rim,10000,N/A,Unknown
Biohazard,Rim,1000000,N/A,Close to none
Bionic,Vehicle,1000000,N/A,Very Low
Birdtail,Spoiler,N/A,N/A,Unknown
Black,Body Color,1000,N/A,Close to none
Black Ceiling Fan,Furniture,5000,N/A,Close to none
Black Hawk,Vehicle,1000000,N/A,Close to none
Black Ice,Texture,2500000,N/A,Very Low
Black Ice,Weapon Skin,500000,N/A,Close to none
Black Widow,Vehicle,2250000,N/A,Low
Blackbeard,Vehicle,1500000,N/A,Very Low
Blade,Rim,N/A,N/A,Unknown
Bleeding Edge,Spoiler,N/A,N/A,Unknown
Block Wing,Spoiler,5000,N/A,Unknown
Bloxxer,Drift,1000000,N/A,Close to none
Bloxxer Launcher,Spoiler,1000000,N/A,Close to none
Bloxy,Rim,25000,N/A,Unknown
Bloxy,Vehicle,2500000,N/A,Decent
Bloxy Lisa,Furniture,1000000,N/A,Close to none
Blue,Body Color,1000,N/A,Unknown
Blue 50,Tire Sticker,7500000,N/A,Very Low
Blue Chute,Spoiler,1250000,N/A,Close to none
Blue Eyes,Rim,2500000,N/A,Very Low
